"Date","RBLBANK.NS.Open","RBLBANK.NS.High","RBLBANK.NS.Low","RBLBANK.NS.Close","RBLBANK.NS.Volume","RBLBANK.NS.Adjusted"
2018-01-24,535,536,500.149994,514.200012,2983717,514.200012
2018-01-25,513.5,518,508.950012,510.399994,1114257,510.399994
2018-01-29,513.450012,514.150024,502.899994,504.850006,753974,504.850006
2018-01-30,502.25,508,496.100006,504.549988,1284248,504.549988
2018-01-31,500.450012,505.299988,499.149994,503.5,713984,503.5
2018-02-01,505.5,511.5,492.450012,504.600006,1062229,504.600006
2018-02-02,500,500,479,482.75,1515876,482.75
2018-02-05,480,488.899994,452.549988,485.200012,1331382,485.200012
2018-02-06,461,478.899994,455,474.600006,1797966,474.600006
2018-02-07,481,487.799988,470,480.75,1598663,480.75
2018-02-08,480.75,492.350006,476.049988,484.899994,1152396,484.899994
2018-02-09,476.450012,485.450012,469.549988,482.350006,1028174,482.350006
2018-02-12,485,489.700012,480,484.799988,956276,484.799988
2018-02-14,492,492,482.399994,483.649994,946063,483.649994
2018-02-15,484.450012,485.5,476,480.799988,902127,480.799988
2018-02-16,481.100006,486.100006,473.600006,476.450012,909124,476.450012
2018-02-19,476.5,478.5,470.049988,473.850006,533683,473.850006
2018-02-20,472,477.600006,470.5,471.649994,403703,471.649994
2018-02-21,473,474.5,460.549988,470.850006,821992,470.850006
2018-02-22,470.399994,474.350006,467.149994,469.850006,713039,469.850006
2018-02-23,471.399994,490,471.399994,488,712961,488
2018-02-26,490.049988,497.850006,481.950012,494.700012,823736,494.700012
2018-02-27,495,496.799988,486,490.299988,637796,490.299988
2018-02-28,485,493.149994,483.5,490.200012,666710,490.200012
2018-03-01,492,495,483.5,485.049988,513447,485.049988
2018-03-05,485.049988,488,475.100006,477.25,1343382,477.25
2018-03-06,482,483.649994,468,470,533420,470
2018-03-07,470,470,452.049988,453.700012,1280681,453.700012
2018-03-08,458,458,443.299988,455.450012,1434046,455.450012
2018-03-09,457.700012,462.850006,453.25,456.299988,556573,456.299988
2018-03-12,461,468.799988,455.350006,466.600006,819085,466.600006
2018-03-13,465.899994,475.950012,462.5,467.5,2994206,467.5
2018-03-14,466,475,462,472.100006,2944991,472.100006
2018-03-15,471.299988,478.899994,471.299988,476.350006,1085239,476.350006
2018-03-16,475.950012,479.950012,466.149994,468.350006,422240,468.350006
2018-03-19,468,471.75,460,463.100006,784079,463.100006
2018-03-20,461.049988,469,461.049988,465.100006,902018,465.100006
2018-03-21,469.350006,470.149994,461.299988,462.100006,754688,462.100006
2018-03-22,463,467,459.049988,462.700012,751828,462.700012
